Occupancy,Flood,Age
1.000,0.000,0.209
1.000,0.000,0.215
1.000,0.000,0.217
1.000,0.000,0.220
1.000,0.000,0.223
1.000,0.000,0.225
1.000,0.000,0.228
1.000,0.000,0.230
1.000,0.000,0.233
1.000,0.000,0.236
1.000,0.000,0.238
1.000,0.000,0.241
1.000,0.000,0.244
1.000,0.000,0.246
1.000,0.000,0.249
1.000,0.000,0.211
1.000,0.000,0.213
1.000,0.000,0.216
1.000,0.000,0.218
1.000,0.000,0.220
1.000,0.000,0.222
1.000,0.000,0.225
1.000,0.000,0.227
1.000,0.000,0.229
1.000,0.000,0.232
1.050,0.048,0.167
1.050,0.000,0.170
1.050,0.000,0.175
1.050,0.000,0.177
1.050,0.000,0.180
1.050,0.000,0.182
1.050,0.000,0.184
1.050,0.000,0.186
1.050,0.000,0.188
1.050,0.000,0.191
1.050,0.000,0.187
1.050,0.000,0.189
