mac_fill,age_score,flood_pressure
2.4,0.0,0.197
2.4,0.0,0.169
2.4,0.0,0.171
2.4,0.0,0.133
2.4,0.0,0.136
2.4,0.0,0.138
2.4,0.0,0.14
2.4,0.0,0.143
2.4,0.0,0.146
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.152
2.4,0.0,0.155
2.4,0.0,0.158
2.4,0.0,0.161
2.4,0.0,0.164
2.4,0.0,0.166
2.4,0.0,0.169
2.4,0.0,0.172
2.4,0.0,0.151
2.4,0.0,0.154
2.4,0.0,0.158
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.167
2.4,0.0,0.17
2.4,0.0,0.173
2.4,0.0,0.176
2.4,0.0,0.179
2.4,0.0,0.182
2.4,0.0,0.185
2.4,0.0,0.167
2.4,0.0,0.17
2.4,0.0,0.173
2.4,0.0,0.176
2.4,0.0,0.178
2.4,0.0,0.181
2.4,0.0,0.184
2.4,0.0,0.187
2.4,0.0,0.19
2.4,0.0,0.193
2.4,0.0,0.178
2.4,0.0,0.181
2.4,0.0,0.184
2.4,0.0,0.187
2.4,0.0,0.189
2.4,0.0,0.192
2.4,0.0,0.195
2.4,0.0,0.198
2.4,0.0,0.2
2.4,0.0,0.203
2.4,0.0,0.194
2.4,0.0,0.135
2.4,0.0,0.137
2.4,0.0,0.14
2.4,0.0,0.142
2.4,0.0,0.145
2.4,0.0,0.147
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.155
2.4,0.0,0.151
2.4,0.0,0.154
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.165
2.4,0.0,0.168
2.4,0.0,0.17
2.4,0.0,0.159
2.4,0.0,0.162
2.4,0.0,0.162
2.4,0.0,0.165
2.4,0.0,0.168
2.4,0.0,0.17
2.4,0.0,0.173
2.4,0.0,0.175
2.4,0.0,0.178
2.4,0.0,0.18
2.4,0.0,0.183
2.4,0.0,0.186
2.4,0.0,0.16
2.4,0.0,0.162
2.4,0.0,0.165
2.4,0.0,0.167
2.4,0.0,0.129
2.4,0.0,0.131
2.4,0.0,0.134
2.4,0.0,0.136
2.4,0.0,0.139
2.4,0.0,0.142
2.4,0.0,0.144
2.4,0.0,0.147
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.155
2.4,0.0,0.157
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.166
2.4,0.0,0.169
2.4,0.0,0.157
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.166
2.4,0.0,0.169
2.4,0.0,0.171
2.4,0.0,0.175
2.4,0.0,0.177
2.4,0.0,0.18
2.4,0.0,0.183
2.4,0.0,0.179
2.4,0.0,0.182
2.4,0.0,0.185
2.4,0.0,0.188
2.4,0.0,0.191
2.4,0.0,0.193
2.4,0.0,0.18
2.4,0.0,0.182
2.4,0.0,0.186
2.4,0.0,0.188
2.4,0.0,0.184
2.4,0.0,0.187
2.4,0.0,0.189
2.4,0.0,0.192
2.4,0.0,0.194
2.4,0.0,0.197
2.4,0.0,0.199
2.4,0.0,0.202
2.4,0.0,0.205
2.4,0.0,0.207
2.4,0.0,0.21
2.4,0.0,0.212
2.4,0.0,0.215
2.4,0.0,0.218
2.4,0.0,0.22
2.4,0.0,0.226
2.4,0.0,0.228
2.4,0.0,0.232
2.4,0.0,0.235
2.4,0.0,0.238
2.4,0.0,0.241
2.4,0.0,0.244
2.4,0.0,0.247
2.4,0.0,0.25
2.4,0.0,0.253
2.4,0.0,0.256
2.4,0.0,0.259
2.4,0.0,0.262
2.4,0.0,0.265
2.4,0.0,0.241
2.4,0.0,0.243
2.4,0.0,0.246
2.4,0.0,0.249
2.4,0.0,0.252
2.4,0.0,0.254
2.4,0.0,0.257
2.4,0.0,0.259
2.4,0.0,0.262
2.4,0.0,0.265
2.4,0.0,0.268
2.4,0.0,0.271
2.4,0.0,0.274
2.4,0.0,0.277
2.4,0.0,0.28
2.4,0.0,0.283
2.4,0.0,0.286
2.4,0.0,0.289
2.4,0.0,0.292
2.4,0.0,0.295
2.4,0.0,0.298
2.4,0.0,0.301
2.4,0.0,0.304
2.4,0.0,0.307
2.4,0.0,0.31
2.4,0.0,0.313
2.4,0.0,0.316
2.4,0.0,0.32
2.4,0.0,0.322
2.4,0.0,0.326
2.4,0.0,0.322
2.4,0.0,0.326
2.4,0.0,0.328
2.4,0.0,0.332
2.4,0.0,0.334
2.4,0.0,0.337
2.4,0.0,0.34
2.4,0.0,0.343
2.4,0.0,0.346
2.4,0.0,0.348
2.4,0.0,0.322
2.4,0.0,0.325
2.4,0.0,0.327
2.4,0.0,0.33
2.4,0.0,0.333
2.4,0.0,0.336
2.4,0.0,0.339
2.4,0.0,0.342
2.4,0.0,0.345
2.4,0.0,0.347
2.4,0.0,0.35
2.4,0.0,0.353
2.4,0.0,0.356
2.4,0.0,0.359
2.4,0.0,0.362
2.4,0.0,0.365
2.4,0.0,0.368
2.4,0.0,0.371
2.4,0.0,0.374
2.4,0.0,0.377
2.4,0.0,0.38
2.4,0.0,0.382
2.4,0.0,0.385
2.4,0.0,0.388
2.4,0.0,0.391
2.4,0.0,0.394
2.4,0.0,0.4
2.4,0.0,0.403
2.4,0.0,0.406
2.4,0.0,0.409
2.4,0.0,0.403
2.4,0.0,0.406
2.4,0.0,0.409
2.4,0.0,0.412
2.4,0.0,0.415
2.4,0.0,0.417
2.4,0.0,0.42
2.4,0.0,0.423
2.4,0.0,0.425
2.4,0.0,0.427
2.4,0.0,0.43
2.4,0.0,0.433
2.4,0.0,0.436
2.4,0.0,0.438
2.4,0.0,0.441
2.4,0.0,0.444
2.4,0.0,0.447
2.4,0.0,0.45
2.4,0.0,0.453
2.4,0.0,0.448
2.4,0.0,0.451
2.4,0.0,0.454
2.4,0.0,0.457
2.4,0.0,0.459
2.4,0.0,0.462
2.4,0.0,0.465
2.4,0.0,0.468
2.4,0.0,0.47
2.4,0.0,0.474
2.4,0.0,0.445
2.4,0.0,0.448
2.4,0.0,0.45
2.4,0.0,0.453
2.4,0.0,0.456
2.4,0.0,0.459
2.4,0.0,0.462
2.4,0.0,0.465
2.4,0.0,0.467
2.4,0.0,0.471
2.4,0.0,0.45
2.4,0.0,0.453
2.4,0.0,0.456
2.4,0.0,0.458
2.4,0.0,0.461
2.4,0.0,0.464
2.4,0.0,0.467
2.4,0.0,0.47
2.3,0.0,0.45
2.3,0.0,0.453
2.3,0.0,0.405
2.3,0.0,0.408
2.3,0.0,0.411
2.3,0.0,0.414
2.3,0.0,0.417
2.3,0.0,0.418
2.3,0.0,0.421
2.3,0.0,0.424
2.3,0.0,0.427
2.3,0.0,0.43
2.3,0.0,0.429
2.3,0.0,0.432
2.3,0.0,0.435
2.3,0.0,0.438
2.3,0.0,0.44
2.0,0.0,0.359
2.0,0.0,0.362
2.0,0.0,0.365
2.0,0.0,0.367
2.0,0.0,0.37
2.0,0.0,0.372
2.0,0.0,0.375
2.0,0.0,0.378
2.0,0.0,0.381
2.0,0.0,0.384
2.0,0.0,0.387
2.0,0.0,0.393
2.0,0.0,0.395
2.0,0.0,0.398
2.0,0.0,0.401
2.0,0.0,0.322
2.0,0.0,0.324
2.0,0.0,0.327
2.0,0.0,0.33
2.0,0.0,0.333
2.0,0.0,0.335
2.0,0.0,0.338
2.0,0.0,0.341
2.0,0.0,0.343
2.0,0.0,0.346
2.0,0.0,0.301
2.0,0.0,0.303
2.0,0.0,0.306
2.0,0.0,0.309
2.0,0.0,0.312
2.0,0.0,0.314
2.0,0.0,0.317
2.0,0.0,0.32
2.0,0.0,0.323
2.0,0.0,0.283
2.0,0.0,0.286
2.0,0.0,0.289
2.0,0.0,0.292
2.0,0.0,0.294
2.0,0.0,0.296
2.0,0.0,0.299
2.0,0.0,0.302
2.0,0.0,0.305
2.0,0.0,0.308
2.0,0.0,0.299
2.0,0.0,0.302
2.0,0.0,0.305
2.0,0.0,0.308
2.0,0.0,0.311
2.0,0.0,0.314
2.0,0.0,0.317
2.0,0.0,0.32
2.0,0.0,0.322
2.0,0.0,0.325
2.0,0.0,0.328
2.0,0.0,0.331
2.0,0.0,0.333
2.0,0.0,0.336
2.0,0.0,0.339
2.0,0.0,0.342
2.0,0.0,0.345
2.0,0.0,0.347
2.0,0.0,0.35
2.0,0.0,0.353
1.9,0.0,0.293
1.9,0.0,0.296
1.9,0.0,0.298
1.9,0.0,0.301
1.9,0.0,0.303
1.9,0.0,0.305
1.9,0.0,0.308
1.9,0.0,0.31
1.9,0.0,0.313
1.9,0.0,0.315
1.9,0.0,0.31
1.9,0.0,0.312
1.9,0.0,0.315
1.9,0.0,0.318
1.9,0.0,0.32
1.9,0.0,0.325
1.9,0.0,0.328
1.9,0.0,0.331
1.9,0.0,0.334
1.9,0.0,0.336
1.9,0.0,0.29
1.9,0.0,0.293
1.9,0.0,0.295
1.9,0.0,0.298
1.9,0.0,0.3
1.9,0.0,0.302
1.9,0.0,0.304
1.9,0.0,0.307
1.9,0.0,0.309
1.7,0.0,0.231
1.8,0.056,0.191
1.8,0.0,0.193
1.7,0.0,0.148
1.7,0.0,0.15
1.7,0.0,0.152
1.7,0.0,0.152
1.7,0.0,0.154
1.7,0.0,0.157
1.7,0.0,0.158
1.7,0.0,0.155
1.7,0.0,0.157
1.7,0.0,0.16
1.7,0.0,0.162
1.7,0.0,0.165
1.7,0.0,0.167
1.7,0.0,0.168
1.7,0.0,0.17
1.7,0.0,0.173
1.7,0.0,0.175
1.7,0.0,0.159
1.7,0.0,0.161
1.7,0.0,0.163
1.7,0.0,0.166
1.7,0.0,0.169
1.7,0.0,0.17
1.7,0.0,0.173
1.7,0.0,0.175
1.7,0.0,0.178
1.7,0.0,0.18
1.7,0.0,0.139
1.7,0.0,0.141
1.7,0.0,0.144
1.7,0.0,0.146
1.7,0.0,0.149
1.7,0.0,0.149
